AccelX,AccelY,AccelZ,GyroX,GyroY,GyroZ
9.83,0.15,-0.28,-0.03,-0.02,-0.02
9.82,0.15,-0.29,-0.03,-0.02,-0.02
9.82,0.14,-0.25,-0.03,-0.02,-0.02
9.83,0.16,-0.29,-0.03,-0.02,-0.02
9.84,0.15,-0.27,-0.03,-0.02,-0.02
9.83,0.13,-0.28,-0.03,-0.02,-0.02
9.83,0.14,-0.29,-0.03,-0.02,-0.02
9.83,0.13,-0.25,-0.03,-0.02,-0.02
9.85,0.14,-0.26,-0.03,-0.02,-0.02
9.82,0.15,-0.25,-0.03,-0.02,-0.02
9.82,0.14,-0.24,-0.03,-0.02,-0.02
9.84,0.13,-0.3,-0.03,-0.02,-0.02
9.82,0.15,-0.26,-0.03,-0.02,-0.02
9.84,0.14,-0.26,-0.03,-0.02,-0.02
9.85,0.15,-0.27,-0.03,-0.02,-0.02
9.82,0.14,-0.24,-0.03,-0.02,-0.02
9.84,0.14,-0.28,-0.03,-0.02,-0.02
9.83,0.15,-0.24,-0.03,-0.02,-0.02
9.85,0.15,-0.26,-0.03,-0.02,-0.02
9.84,0.15,-0.27,-0.03,-0.02,-0.02
9.81,0.16,-0.27,-0.03,-0.02,-0.02
9.83,0.14,-0.26,-0.03,-0.02,-0.02
9.83,0.15,-0.27,-0.03,-0.02,-0.02
9.84,0.14,-0.27,-0.03,-0.02,-0.02
9.83,0.14,-0.28,-0.03,-0.02,-0.02
9.84,0.17,-0.27,-0.03,-0.02,-0.02
9.84,0.15,-0.27,-0.03,-0.02,-0.02
9.83,0.15,-0.27,-0.03,-0.02,-0.02
9.83,0.14,-0.28,-0.03,-0.02,-0.02
9.83,0.13,-0.28,-0.03,-0.02,-0.02
9.83,0.13,-0.26,-0.03,-0.02,-0.02
9.82,0.15,-0.28,-0.03,-0.02,-0.02
9.84,0.14,-0.25,-0.03,-0.02,-0.02
9.81,0.16,-0.27,-0.03,-0.02,-0.02
9.84,0.17,-0.28,-0.03,-0.02,-0.02
9.82,0.14,-0.26,-0.03,-0.02,-0.02
9.81,0.16,-0.29,-0.03,-0.02,-0.02
9.82,0.14,-0.27,-0.03,-0.02,-0.02
9.82,0.13,-0.25,-0.03,-0.02,-0.02
9.84,0.15,-0.26,-0.03,-0.02,-0.02
9.82,0.12,-0.27,-0.03,-0.02,-0.02
9.82,0.16,-0.25,-0.03,-0.02,-0.02
9.85,0.16,-0.26,-0.03,-0.02,-0.01
9.81,0.15,-0.24,-0.03,-0.02,-0.02
9.82,0.16,-0.3,-0.03,-0.02,-0.02
9.84,0.13,-0.28,-0.03,-0.02,-0.02
9.79,0.14,-0.25,-0.03,-0.02,-0.02
9.83,0.14,-0.27,-0.03,-0.02,-0.02
9.83,0.14,-0.29,-0.03,-0.02,-0.02
9.82,0.14,-0.26,-0.03,-0.02,-0.02
9.83,0.16,-0.27,-0.03,-0.02,-0.02
9.84,0.15,-0.28,-0.03,-0.02,-0.02
9.8,0.13,-0.28,-0.03,-0.02,-0.02
9.84,0.14,-0.29,-0.03,-0.02,-0.02
9.82,0.15,-0.26,-0.03,-0.02,-0.02
9.84,0.15,-0.3,-0.03,-0.02,-0.02
9.85,0.15,-0.28,-0.03,-0.02,-0.02
9.81,0.13,-0.26,-0.03,-0.02,-0.02
9.81,0.13,-0.28,-0.03,-0.02,-0.02
9.82,0.13,-0.27,-0.03,-0.02,-0.02
9.83,0.13,-0.27,-0.03,-0.02,-0.02
9.81,0.14,-0.28,-0.03,-0.02,-0.02
9.79,0.15,-0.26,-0.03,-0.02,-0.02
9.81,0.17,-0.28,-0.03,-0.02,-0.02
9.83,0.16,-0.28,-0.03,-0.02,-0.02
9.83,0.15,-0.31,-0.03,-0.02,-0.02
9.83,0.16,-0.28,-0.03,-0.02,-0.02
9.84,0.15,-0.29,-0.03,-0.02,-0.02
9.84,0.14,-0.27,-0.03,-0.02,-0.02
9.84,0.13,-0.26,-0.03,-0.02,-0.02
9.82,0.14,-0.28,-0.02,-0.02,-0.02
9.84,0.15,-0.29,-0.03,-0.02,-0.02
9.84,0.14,-0.32,-0.03,-0.02,-0.02
9.84,0.16,-0.28,-0.03,-0.02,-0.02
9.83,0.14,-0.26,-0.03,-0.02,-0.02
9.85,0.14,-0.27,-0.03,-0.02,-0.02
9.84,0.16,-0.25,-0.03,-0.02,-0.02
9.84,0.14,-0.28,-0.03,-0.02,-0.02
9.83,0.14,-0.29,-0.03,-0.02,-0.02
9.81,0.15,-0.28,-0.03,-0.02,-0.02
9.83,0.15,-0.28,-0.03,-0.02,-0.02
9.81,0.14,-0.29,-0.03,-0.02,-0.02
9.83,0.13,-0.26,-0.03,-0.02,-0.02
9.85,0.14,-0.25,-0.03,-0.02,-0.02
9.83,0.17,-0.26,-0.03,-0.02,-0.02
9.84,0.16,-0.24,-0.03,-0.02,-0.02
9.81,0.15,-0.25,-0.03,-0.02,-0.02
9.82,0.14,-0.26,-0.03,-0.02,-0.02
9.81,0.16,-0.28,-0.03,-0.02,-0.02
9.81,0.14,-0.31,-0.03,-0.02,-0.02
9.81,0.11,-0.31,-0.03,-0.02,-0.02
10.16,0.25,-0.36,-0.03,-0.0,-0.01
9.97,0.18,-0.33,-0.03,-0.03,-0.01
9.37,0.18,-0.26,-0.03,-0.02,-0.01
9.62,0.17,-0.27,-0.03,-0.02,-0.02
9.87,0.16,-0.29,-0.03,-0.02,-0.01
10.08,0.15,-0.32,-0.03,-0.02,-0.02
9.97,0.18,-0.3,-0.03,-0.02,-0.01
9.59,0.13,-0.24,-0.02,-0.02,-0.02
9.7,0.14,-0.24,-0.03,-0.01,-0.01
9.89,0.18,-0.27,-0.03,-0.02,-0.02
10.06,0.11,-0.3,-0.03,-0.02,-0.02
9.7,0.17,-0.27,-0.02,-0.0,-0.01
9.73,-0.03,-0.19,-0.04,-0.02,-0.02
9.8,-1.13,0.01,0.11,-0.01,-0.02
9.96,-1.41,-0.15,0.32,0.0,-0.03
9.95,0.09,-0.52,0.38,0.0,-0.02
9.83,0.48,-0.32,0.32,0.0,-0.02
9.69,0.6,-0.45,0.21,0.01,-0.01
9.78,0.58,-0.64,0.11,-0.0,-0.02
9.88,0.37,-0.65,0.05,-0.0,-0.01
9.85,-0.04,-0.5,-0.02,-0.01,-0.01
9.84,-0.27,-0.19,-0.06,-0.0,0.0
9.76,-0.15,0.11,-0.04,0.0,0.01
9.79,0.25,0.28,-0.04,0.01,0.03
9.82,0.24,0.35,-0.15,0.01,0.03
9.91,0.32,0.57,-0.27,-0.01,0.01
9.9,0.42,0.72,-0.35,-0.01,-0.0
9.8,0.76,0.61,-0.39,-0.02,-0.02
9.77,0.95,0.22,-0.45,-0.05,-0.04
9.83,0.85,-0.06,-0.47,-0.06,-0.04
9.93,0.37,-0.21,-0.36,-0.04,-0.03
9.79,0.63,-0.36,-0.05,-0.05,-0.05
9.76,0.99,-0.48,0.3,-0.05,-0.06
9.83,1.2,-0.89,0.6,-0.05,-0.05
9.79,0.94,-1.37,0.71,-0.06,-0.05
9.77,0.65,-1.49,0.7,-0.06,-0.06
9.81,0.07,-1.52,0.67,-0.03,-0.06
9.85,-0.41,-1.18,0.74,-0.0,-0.04
9.8,-0.64,-1.27,0.7,0.01,-0.03
9.78,-0.47,-1.58,0.33,-0.0,-0.02
9.8,0.23,-1.91,-0.21,0.01,0.0
9.77,0.21,-1.67,-0.61,0.01,0.01
9.73,-0.11,-1.68,-0.73,-0.01,-0.0
9.76,-0.41,-1.91,-0.63,-0.04,-0.01
9.73,-0.54,-2.0,-0.46,-0.05,-0.02
9.93,-0.75,-1.28,-0.43,-0.02,-0.02
9.67,-0.32,-0.31,-0.47,-0.05,-0.0
9.89,-0.4,1.03,-0.53,-0.03,-0.0
10.0,-0.18,1.58,-0.57,-0.04,0.02
9.95,-0.39,2.02,-0.5,-0.03,0.01
9.92,-0.87,2.21,-0.3,-0.02,-0.0
9.96,-1.37,5.81,0.11,-0.03,-0.01
9.95,-0.1,1.12,0.38,-0.01,-0.02
9.83,0.35,0.11,0.2,-0.01,-0.03
9.84,0.56,0.11,0.04,-0.01,-0.02
9.84,0.4,0.15,-0.07,-0.01,-0.02
9.82,0.25,0.39,-0.18,-0.01,-0.01
9.84,0.23,0.64,-0.3,-0.02,-0.02
9.86,0.21,1.04,-0.31,-0.02,-0.01
9.86,0.34,1.14,-0.24,-0.0,-0.02
9.85,0.59,0.91,-0.17,-0.01,-0.03
9.78,0.83,0.17,-0.03,-0.03,-0.03
9.86,0.99,-0.73,0.15,0.0,-0.03
9.72,1.13,-1.11,0.26,-0.01,-0.04
9.74,1.05,-1.27,0.33,-0.02,-0.03
9.79,0.75,-1.33,0.37,-0.02,-0.02
9.81,0.27,-1.64,0.4,-0.02,-0.02
9.83,0.68,-1.63,0.34,-0.02,-0.02
9.8,1.02,-1.37,0.25,-0.01,-0.02
9.77,0.33,-1.26,0.2,-0.02,-0.02
9.82,-0.09,-1.24,0.16,-0.03,-0.02
9.82,-0.2,-1.31,0.04,-0.03,-0.01
9.79,-0.39,-1.07,-0.12,-0.04,-0.01
9.84,-0.57,-0.66,-0.27,-0.03,-0.01
9.84,-0.76,0.28,-0.32,-0.03,-0.0
9.9,-0.43,0.84,-0.22,-0.02,-0.01
9.89,-0.32,0.77,-0.11,-0.01,-0.01
9.87,-0.42,0.66,-0.03,-0.01,-0.02
9.82,0.03,-0.16,-0.02,-0.02,-0.02
9.83,0.14,-0.26,-0.02,-0.02,-0.02
9.83,0.13,-0.27,-0.02,-0.02,-0.02
9.82,0.15,-0.27,-0.03,-0.02,-0.02
9.83,0.14,-0.29,-0.03,-0.02,-0.02
9.82,0.15,-0.26,-0.02,-0.02,-0.02
9.83,0.05,0.01,-0.0,-0.02,-0.02
9.84,-0.11,0.47,0.1,-0.02,-0.02
9.87,-0.05,0.36,0.24,-0.02,-0.03
9.81,0.08,0.02,0.27,-0.02,-0.03
9.86,-0.04,-0.22,0.24,-0.02,-0.03
9.83,0.0,-0.5,0.18,-0.01,-0.02
9.86,-0.07,-0.71,0.06,-0.02,-0.02
9.76,-0.18,-0.56,-0.1,-0.01,-0.02
9.88,-0.33,-0.06,-0.16,-0.02,-0.02
9.81,-0.5,0.36,-0.08,-0.01,-0.02
9.84,-0.55,0.55,0.09,-0.0,-0.01
9.84,-0.24,0.16,0.27,-0.0,-0.02
9.8,-0.13,-0.47,0.29,0.0,-0.03
9.75,0.32,-0.77,0.2,-0.01,-0.03
9.85,0.17,-0.73,0.15,0.0,-0.02
9.93,-0.36,-0.47,0.18,0.0,-0.02
9.83,-0.35,-0.01,0.26,-0.0,-0.03
9.83,0.14,-0.1,0.33,0.02,-0.03
9.77,-0.06,-0.07,0.44,0.02,-0.02
9.85,0.12,-0.27,0.59,0.04,-0.01
9.85,0.07,-0.55,0.66,0.02,-0.02
9.91,0.54,-0.91,0.65,0.06,-0.02
9.85,0.92,-1.13,0.52,0.07,-0.03
9.89,0.93,-1.02,0.34,0.09,-0.04
9.52,1.09,-0.65,0.19,0.05,-0.03
9.68,1.02,-0.43,0.07,-0.03,-0.02
9.82,0.87,-0.64,-0.03,-0.08,-0.02
9.84,0.6,-0.93,-0.13,-0.06,-0.02
9.83,0.55,-0.62,-0.17,-0.05,-0.02
9.78,0.67,-0.25,-0.14,-0.06,-0.02
9.78,0.73,-0.41,-0.06,-0.07,-0.01
10.0,0.86,-0.93,-0.02,-0.06,-0.02
9.84,1.04,-1.28,-0.07,-0.05,-0.02
9.67,1.29,-1.78,-0.2,-0.06,-0.01
9.89,0.36,-1.48,-0.4,-0.09,-0.03
9.82,-0.49,-0.01,-0.58,-0.08,-0.03
9.93,-0.5,1.1,-0.67,-0.06,-0.01
9.84,0.16,0.89,-0.56,-0.05,-0.0
9.83,0.65,0.29,-0.44,-0.04,-0.0
9.77,0.82,-0.22,-0.42,-0.04,0.0
9.87,-0.08,0.12,-0.46,-0.03,-0.0
9.88,-0.87,0.86,-0.44,-0.03,-0.01
9.89,-0.03,0.76,-0.33,-0.02,-0.01
9.84,-0.02,0.71,-0.2,-0.02,-0.02
9.91,-0.05,0.57,-0.1,-0.02,-0.02
9.86,0.31,0.44,-0.08,-0.02,-0.02
9.92,-0.17,0.47,-0.05,-0.02,-0.02
9.84,-1.13,0.42,0.08,-0.01,-0.02
9.87,-0.84,-0.2,0.23,-0.02,-0.03
9.85,-0.19,-0.55,0.22,-0.02,-0.03
9.82,-0.18,-0.45,0.16,-0.02,-0.03
9.77,-0.07,-0.58,0.18,-0.01,-0.02
9.81,0.19,-0.89,0.14,-0.02,-0.02
9.83,0.11,-0.5,0.07,-0.01,-0.01
9.8,0.05,-0.11,-0.0,-0.02,-0.01
9.84,-0.04,0.01,-0.03,-0.02,-0.01
9.85,-0.01,0.13,0.0,-0.02,-0.02
9.9,-0.29,0.33,0.0,-0.02,-0.01
9.83,-0.4,0.48,0.06,-0.01,-0.02
9.87,-0.24,0.15,0.12,-0.02,-0.02
9.85,-0.09,-0.61,0.08,-0.02,-0.02
9.73,-0.02,-1.13,-0.09,-0.02,-0.02
9.79,-0.1,-1.28,-0.28,-0.01,-0.0
9.8,-0.19,-1.19,-0.43,-0.02,-0.0
9.81,-0.35,-0.79,-0.45,-0.02,-0.01
9.92,-0.27,-0.16,-0.25,-0.01,-0.01
9.84,-0.01,-0.05,-0.01,0.01,-0.01
9.88,0.28,-0.36,0.14,-0.0,-0.03
9.84,0.31,-0.68,0.23,0.0,-0.03
9.77,-0.47,-1.01,0.26,0.01,-0.03
9.78,-1.08,-1.03,0.34,0.02,-0.02
9.83,-0.62,-1.03,0.56,0.01,-0.0
9.77,1.38,-0.64,0.8,0.07,-0.02
9.89,2.57,-0.73,0.72,0.07,-0.02
9.92,2.26,-0.69,0.32,0.11,-0.03
9.52,1.38,-0.34,-0.08,0.05,-0.03
9.79,0.92,-0.04,-0.24,0.01,-0.02
9.79,0.87,0.32,-0.24,-0.01,-0.02
9.73,1.23,0.33,-0.15,-0.03,-0.02
9.64,2.03,0.17,0.02,-0.08,-0.02
9.64,1.81,-0.02,0.18,-0.16,-0.01
9.9,0.68,0.17,0.29,-0.17,-0.01
9.86,-1.03,0.67,0.4,-0.07,-0.04
9.98,-1.79,0.26,0.38,-0.06,-0.03
9.88,-1.27,-0.41,0.23,-0.04,-0.03
9.84,-0.51,-0.59,0.06,-0.03,-0.02
9.8,0.41,-0.41,-0.06,-0.02,-0.02
9.86,0.35,-0.25,-0.13,-0.02,-0.01
9.81,0.34,-0.04,-0.18,-0.02,-0.01
9.84,0.13,0.31,-0.18,-0.02,-0.01
9.81,-0.1,0.55,-0.14,-0.02,-0.01
9.92,-0.39,0.43,-0.05,-0.01,-0.01
9.82,-0.02,0.44,-0.01,-0.03,-0.02
9.89,-0.08,0.45,-0.05,-0.03,-0.02
9.75,-0.52,0.7,-0.01,-0.01,-0.01
9.87,-0.56,0.56,0.12,-0.02,-0.02
9.84,-0.37,0.15,0.2,-0.01,-0.02
9.88,-0.45,-0.19,0.23,-0.02,-0.03
9.78,-0.33,-0.57,0.26,-0.01,-0.03
9.85,0.15,-1.03,0.28,-0.01,-0.03
9.72,0.3,-1.26,0.17,-0.0,-0.03
9.82,0.45,-1.48,0.04,-0.01,-0.02
9.73,0.36,-1.57,-0.05,-0.01,-0.01
9.83,0.22,-1.47,-0.19,-0.01,-0.01
9.75,0.09,-1.05,-0.29,-0.01,-0.01
9.8,-0.31,-0.55,-0.31,-0.02,-0.01
9.8,-0.7,-0.52,-0.29,-0.03,-0.01
9.83,-0.25,-0.74,-0.3,-0.02,-0.01
9.82,0.32,-1.03,-0.32,-0.02,-0.01
9.81,0.66,-1.35,-0.42,-0.01,-0.01
9.76,0.76,-1.48,-0.55,-0.02,-0.0
9.82,0.74,-1.01,-0.63,-0.02,0.0
9.81,0.62,-0.2,-0.66,-0.04,0.01
9.91,0.44,0.94,-0.61,-0.04,0.01
9.89,0.49,1.27,-0.44,-0.02,0.0
9.9,0.45,0.85,-0.27,-0.01,-0.01
9.84,0.54,0.2,-0.15,-0.01,-0.02
9.78,1.24,-0.59,-0.09,-0.02,-0.02
9.74,1.39,-0.51,-0.06,-0.03,-0.01
9.81,1.24,0.04,0.01,-0.03,-0.01
10.0,1.01,0.19,0.12,-0.04,-0.02
9.74,0.05,0.17,0.2,-0.04,-0.03
9.86,-0.5,-0.01,0.21,-0.02,-0.01
9.82,-0.7,-0.25,0.15,-0.03,-0.02
9.87,-0.42,-0.41,0.02,-0.03,-0.02
9.85,0.02,-0.52,-0.13,-0.03,-0.01
9.8,-0.3,-0.32,-0.24,-0.03,-0.0
9.81,-0.59,0.12,-0.26,-0.02,-0.01
9.87,-0.39,0.15,-0.21,-0.02,-0.01
9.83,0.12,0.34,-0.17,-0.02,-0.01
9.87,0.03,0.43,-0.16,-0.01,-0.01
9.87,-0.26,0.6,-0.13,-0.01,-0.01
9.87,-0.32,0.52,-0.03,-0.0,-0.01
9.83,-0.27,0.3,0.07,-0.02,-0.02
9.86,-0.1,-0.23,0.15,-0.03,-0.03
9.78,-0.02,-0.37,0.12,-0.02,-0.02
9.79,0.02,-0.22,0.12,-0.02,-0.03
9.84,0.15,-0.46,0.17,-0.02,-0.03
9.82,0.24,-0.71,0.14,-0.02,-0.02
9.77,0.44,-1.27,0.12,-0.02,-0.02
9.71,0.61,-1.82,0.02,-0.02,-0.01
9.83,0.22,-0.44,-0.04,-0.01,-0.01
9.83,0.16,-0.33,-0.03,-0.02,-0.02
9.84,0.14,-0.29,-0.03,-0.03,-0.02
9.85,0.15,-0.29,-0.03,-0.02,-0.02
9.82,0.14,-0.29,-0.03,-0.02,-0.02
9.81,-0.05,-0.57,-0.03,-0.02,-0.02
9.78,-0.02,-1.31,-0.1,-0.02,-0.02
9.83,0.13,-1.08,-0.2,-0.01,-0.01
9.82,0.3,-0.14,-0.2,-0.01,-0.02
9.86,0.28,0.57,-0.17,-0.01,-0.01
9.83,0.18,0.7,-0.08,-0.02,-0.02
9.84,0.17,-0.05,-0.02,-0.02,-0.02
9.84,0.17,-0.23,-0.02,-0.02,-0.02
9.83,0.16,-0.26,-0.02,-0.02,-0.02
9.83,0.16,-0.27,-0.02,-0.02,-0.02
9.82,0.13,-0.22,-0.02,-0.02,-0.02
9.84,0.08,-0.34,0.03,-0.02,-0.02
9.83,0.0,-0.6,0.1,-0.02,-0.02
9.81,-0.21,-0.91,0.12,-0.02,-0.02
9.79,-0.14,-1.09,0.16,-0.01,-0.03
9.83,0.06,-1.26,0.11,-0.01,-0.02
9.84,0.38,-1.17,0.0,-0.01,-0.02
9.79,0.52,-0.91,-0.11,-0.0,-0.01
9.86,0.48,-0.12,-0.21,-0.02,-0.01
9.89,0.3,-0.11,-0.25,-0.04,-0.02
9.83,0.21,-0.08,-0.29,-0.03,-0.01
9.81,0.13,0.09,-0.28,-0.01,-0.01
9.89,0.1,0.77,-0.29,-0.01,-0.0
9.86,0.06,1.33,-0.2,-0.02,-0.01
9.82,0.14,0.13,-0.05,-0.02,-0.02
9.81,0.14,-0.25,-0.03,-0.02,-0.02
9.82,0.14,-0.3,-0.03,-0.02,-0.02
9.82,-0.09,-0.2,-0.09,-0.01,-0.01
9.89,-0.62,0.59,-0.08,-0.01,-0.01
9.95,-0.99,1.4,0.02,-0.01,-0.01
9.83,-0.31,1.12,0.19,-0.01,-0.02
9.81,0.39,0.33,0.27,-0.03,-0.02
9.85,0.51,-0.55,0.26,-0.02,-0.03
9.79,0.4,-1.07,0.18,-0.01,-0.03
9.82,-0.0,-1.11,0.08,-0.01,-0.02
9.81,0.0,-0.76,0.02,-0.0,-0.01
9.86,0.11,-0.48,0.04,0.0,-0.01
9.87,0.04,-0.36,0.07,0.0,-0.01
9.84,0.12,-0.46,0.13,-0.0,-0.02
9.84,-0.14,-0.32,0.21,-0.0,-0.02
9.84,-0.13,-0.17,0.28,0.01,-0.02
9.88,0.04,-0.08,0.35,0.02,-0.01
9.78,0.48,-0.16,0.4,0.03,0.0
9.8,0.69,-0.49,0.4,0.03,0.01
9.8,0.57,-0.61,0.32,0.03,0.01
9.79,0.36,-0.34,0.22,0.01,0.01
9.81,0.58,-0.63,0.17,-0.01,-0.01
9.8,0.9,-1.12,0.08,-0.02,-0.02
9.81,0.32,-0.52,-0.01,-0.02,-0.01
9.84,0.11,-0.25,-0.02,-0.02,-0.03
9.81,0.17,-0.27,-0.03,-0.03,-0.05
9.84,0.67,-0.38,-0.12,-0.06,-0.06
9.81,1.58,-0.39,-0.29,-0.06,-0.05
9.8,1.67,-0.29,-0.41,-0.06,-0.03
9.81,1.15,-0.4,-0.45,-0.06,-0.03
9.79,-0.4,-0.12,-0.35,-0.05,-0.01
9.89,-1.26,0.31,-0.15,-0.03,-0.01
9.92,-0.81,0.02,-0.01,-0.02,-0.02
9.82,-0.06,-0.11,0.03,-0.02,-0.02
9.84,-0.12,-0.39,0.05,-0.02,-0.02
9.83,-0.28,-0.42,0.06,-0.02,-0.02
9.84,-0.18,-0.56,0.04,-0.02,-0.02
